station_code,line_code,active,station_name_en,station_name_th,latitude,longitude
A1,arl,TRUE,Suvarnabhumi,สุวรรณภูมิ,13.69790742,100.7522493
A2,arl,TRUE,Lat Krabang,ลาดกระบัง,13.7278904,100.7486236
A3,arl,TRUE,Ban Thap Chang,บ้านทับช้าง,13.73282618,100.6913061
A4,arl,TRUE,Hua Mak,หัวหมาก,13.73804799,100.6451781
A5,arl,TRUE,Ramkhamhaeng,รามคำแหง,13.74298957,100.6001476
A6,arl,TRUE,Makkasan,มักกะสัน,13.75103218,100.5612032
A7,arl,TRUE,Ratchaprarop,ราชปรารภ,13.75510533,100.5421521
A8,arl,TRUE,Phaya Thai,พญาไท,13.75677853,100.5348391
A9,arl,FALSE,Bang Sue,บางซื่อ,,
A10,arl,FALSE,Don Muang,ดอนเมือง,,
BL01,blue,TRUE,Tha Phra,ท่าพระ,13.72969778,100.4741528
BL02,blue,TRUE,Charan 13,จรัญฯ 13,13.7403604,100.4706533
BL03,blue,TRUE,Fai Chai,ไฟฉาย,13.75513012,100.469225
BL04,blue,TRUE,Bang Khun Non,บางขุนนนท์,13.76322858,100.4732075
BL05,blue,TRUE,Bang Yi Khan,บางยี่ขัน,13.77753717,100.485243
BL06,blue,TRUE,Sirindhorn,สิรินธร,13.78406434,100.4934785
BL07,blue,TRUE,Bang Phlat,บางพลัด,13.79255197,100.5050425
BL08,blue,TRUE,Bang O,บางอ้อ,13.79901673,100.5096999
BL09,blue,TRUE,Bang Pho,บางโพ,13.80646721,100.5210402
BL10,blue,TRUE,Tao Poon,เตาปูน,13.80621259,100.530759
BL11,blue,TRUE,Bang Sue,บางซื่อ,13.80312385,100.5391893
BL12,blue,TRUE,Kamphaeng Phet,กำแพงเพชร,13.79809541,100.5475954
BL13,blue,TRUE,Chatuchak Park,สวนจตุจักร,13.80213175,100.5530476
BL14,blue,TRUE,Phahon Yothin,พหลโยธิน,13.81434869,100.5601448
BL15,blue,TRUE,Lat Phrao,ลาดพร้าว,13.806243,100.5739567
BL16,blue,TRUE,Ratchadaphisek,รัชดาภิเษก,13.79915789,100.5746119
BL17,blue,TRUE,Sutthisan,สุทธิสาร,13.78973963,100.5742003
BL18,blue,TRUE,Huai Khwang,ห้วยขวาง,13.77852705,100.5736394
BL19,blue,TRUE,Thailand Cultural Centre,ศูนย์วัฒธรรมแห่งประเทศไทย,13.76627655,100.5702328
BL20,blue,TRUE,Phra Ram 9,พระราม 9,13.75791625,100.5655452
BL21,blue,TRUE,Phetchaburi,เพชรบุรี,13.74868501,100.5631611
BL22,blue,TRUE,Sukhumvit,สุขุมวิท,13.73855034,100.5614557
BL23,blue,TRUE,Queen Sirikit National,ศูนย์การประชุมแห่งชาติสิริกิติ์,13.72315611,100.5601051
BL24,blue,TRUE,Khlong Toei,คลองเตย,13.72233526,100.5539195
BL25,blue,TRUE,Lumphini,ลุมพินี,13.72577127,100.5456769
BL26,blue,TRUE,Si Lom,สีลม,13.72926025,100.5365456
BL27,blue,TRUE,Sam Yan,สามย่าน,13.73234822,100.5299815
BL28,blue,TRUE,Hua Lamphong,หัวลำโพง,13.73783973,100.5171627
BL29,blue,TRUE,Wat Mangkon,วัดมังกร,13.74201328,100.5101788
BL30,blue,TRUE,Sam Yot,สามยอด,13.74715729,100.5022257
BL31,blue,TRUE,Sanam Chai,สนามไชย,13.74394426,100.4945866
BL32,blue,TRUE,Itsaraphap,อิสรภาพ,13.73832048,100.4852921
BL33,blue,TRUE,Bang Phai,บางไผ่,13.72459435,100.4651747
BL34,blue,TRUE,Bang Wa,บางหว้า,13.72039546,100.4571675
BL35,blue,TRUE,Phetkasem 48,เพชรเกษม 48,13.71550917,100.4456044
BL36,blue,TRUE,Phasi Charoen,ภาษีเจริญ,13.71288542,100.4341567
BL37,blue,TRUE,Bang Khae,บางแค,13.71194125,100.4223819
BL38,blue,TRUE,Lak Song,หลักสอง,13.7109686,100.4099721
BL39,blue,FALSE,Phutthamonthon 2,พุทธมณฑลสาย 2,,
BL40,blue,FALSE,Thawiwatthana,ทวีวัฒนา,,
BL41,blue,FALSE,Phutthamonthon 3,พุทธมณฑลสาย 3,,
BL42,blue,FALSE,Phutthamonthon 4,พุทธมณฑลสาย 4,,
BR01,brown,FALSE,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี,,
BR02,brown,FALSE,Ngam Wong Wan 2,งามวงศ์วาน 2,,
BR03,brown,FALSE,Ngam Wong Wan 18,งามวงศ์วาน 18,,
BR04,brown,FALSE,Chinnakhet,ชินเขต,,
BR05,brown,FALSE,Bang Khen,บางเขน,,
BR06,brown,FALSE,Ngam Wong Wan 48,งามวงศ์วาน 48,,
BR07,brown,FALSE,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,,
BR08,brown,FALSE,Khong Bang Bua,คลองบางบัว,,
BR09,brown,FALSE,Prasert Manukitch – Lat Pla Khao,ประเสริฐมนูกิจ – ลาดปลาเค้า,,
BR10,brown,FALSE,Sena Niwet,เสนานิเวศน์,,
BR11,brown,FALSE,Satri Witthaya 2 School,โรงเรียนสตรีวิทยา 2,,
BR12,brown,FALSE,Kaset Nawamin,เกษตรนวมินทร์,,
BR13,brown,FALSE,Khlong Lamchiak,คลองลำเจียก,,
BR14,brown,FALSE,Nuanchan,นวลจันทร์,,
BR15,brown,FALSE,Nawamin Junction,แยกนวมินทร์,,
BR16,brown,FALSE,Phokaew,โพธิ์แก้ว,,
BR17,brown,FALSE,Inthrarak,อินทรารักษ์,,
BR18,brown,FALSE,Nawaminphirom Park,สวนนวมินทร์ภิรมย์,,
BR19,brown,FALSE,Nationnal Housing Authority,การเคหะแห่งชาติ,,
BR20,brown,FALSE,Yaek Lam Sali,แยกลำสาลี,,
CEN,dark_green,TRUE,Siam,สยาม,13.74561143,100.5341474
CEN,light_green,TRUE,Siam,สยาม,13.74561143,100.5341474
E1,light_green,TRUE,Chit Lom,ชิดลม,13.74408069,100.5430873
E10,light_green,TRUE,Bang Chak,บางจาก,13.69673557,100.6052246
E11,light_green,TRUE,Punnawithi,ปุณณวิถี,13.68924559,100.6090509
E12,light_green,TRUE,Udom Suk,อุดมสุข,13.67991899,100.6095904
E13,light_green,TRUE,Bang Na,บางนา,13.66814729,100.6047186
E14,light_green,TRUE,Bearing,แบริ่ง,13.66133924,100.6019284
E15,light_green,TRUE,Samrong,สำโรง,13.64618067,100.5955061
E16,light_green,TRUE,Pu Chao,ปู่เจ้า,13.63724629,100.5920546
E17,light_green,TRUE,Chang Erawan,ช้างเอราวัณ,13.62153309,100.5902021
E18,light_green,TRUE,Royal Thai Naval Academy,โรงเรียนนายเรือ,13.60845311,100.5949343
E19,light_green,TRUE,Pak Nam,ปากน้ำ,13.60211662,100.5971519
E2,light_green,TRUE,Phloen Chit,เพลินจิต,13.74305844,100.5490357
E20,light_green,TRUE,Srinagarindra,ศรีนครินทร์,13.59205817,100.608983
E21,light_green,TRUE,Phraek Sa,แพรกษา,13.58432495,100.607975
E22,light_green,TRUE,Sai Luat,สายลวด,13.57771156,100.6054492
E23,light_green,TRUE,Kheha,เคหะฯ,13.56766421,100.6077781
E24,light_green,FALSE,Sawang Khaniwat,สวางคนิวาส,,
E25,light_green,FALSE,Ancient City,เมืองโบราณ,,
E26,light_green,FALSE,Srichanpradit,ศรีจันทร์ประดิษฐ์,,
E27,light_green,FALSE,Bang Pu,บางปู,,
E28,light_green,FALSE,Tamru,ตำหรุ,,
E3,light_green,TRUE,Nana,นานา,13.74053723,100.5554754
E4,light_green,TRUE,Asok,อโศก,13.73704787,100.5603549
E5,light_green,TRUE,Phrom Phong,พร้อมพงศ์,13.73045553,100.5696996
E6,light_green,TRUE,Thong Lo,ทองหล่อ,13.72435715,100.5784291
E7,light_green,TRUE,Ekkamai,เอกมัย,13.71955685,100.5850876
E8,light_green,TRUE,Phra Khanong,พระโขนง,13.71523481,100.5912765
E9,light_green,TRUE,On Nut,อ่อนนุช,13.70563696,100.6010277
G1,gold,TRUE,Krung Thon Buri,กรุงธนบุรี,13.72111862,100.5036484
G2,gold,TRUE,Charoen Nakhorn,เจริญนคร,13.72652947,100.5089743
G3,gold,TRUE,Khlong San,คลองสาน,13.73045608,100.5076094
G4,gold,FALSE,Memorial Bridge,สะพานพุทธ,,
GY01,grey,FALSE,Vatcharaphol,วัชรพล,,
GY02,grey,FALSE,Yu Yen,อยู่เย็น,,
GY03,grey,FALSE,Kaset Nawamin,เกษตรนวมินทร์,,
GY04,grey,FALSE,Pradit Manutham 25,ประดิษฐ์มนูญธรรม 25,,
GY05,grey,FALSE,Yothin Phattana,โยธินพัฒนา,,
GY06,grey,FALSE,Lat Phrao 87,ลาดพร้าว 87,,
GY07,grey,FALSE,Sangkhom Songkhro,สังคมสงเคราะห์,,
GY08,grey,FALSE,Lat Phrao 83,ลาดพร้าว 83,,
GY09,grey,FALSE,Si Wara,ศรีวรา,,
GY10,grey,FALSE,Nawa Si,นวศรี,,
GY11,grey,FALSE,Wat Phraram Kao,วัดพระราม 9,,
GY12,grey,FALSE,Petchaburi-Thong Lo,เพชรบุรี-ทองหล่อ,,
GY13,grey,FALSE,Cham Chan,แจ่มจันทร์,,
GY14,grey,FALSE,Thong Lo 10,ทองหล่อ 10,,
GY15,grey,FALSE,Thong Lo,ทองหล่อ,,
GY16,grey,FALSE,Phra Khanong,พระโขนง,,
GY17,grey,FALSE,Ban Kluai Tai,บ้านกล้วยใต้,,
GY18,grey,FALSE,Kluai Namthai,กล้วยน้ำไท,,
GY19,grey,FALSE,Kasem Rat Junction,แยกเกษมราษฎร์,,
GY20,grey,FALSE,Queen Sirikit National Covention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์,,
GY21,grey,FALSE,Khlong Toei,คลองเตย,,
GY22,grey,FALSE,Ngam Duphli,งามดูพลี,,
GY23,grey,FALSE,Lumpini,ลุมพินี,,
GY24,grey,FALSE,Suan Phlu,สวนพลู,,
GY25,grey,FALSE,Chong Nonsi,ช่องนนทรี,,
GY26,grey,FALSE,Naradhiwas,นราธิวาสฯ,,
GY27,grey,FALSE,Nang Linchi,นางลิ้นจี่,,
GY28,grey,FALSE,Ratchada-Naradhiwas,รัชดา-นราธิวาส,,
GY29,grey,FALSE,Yannawa,ยานนาวา,,
GY30,grey,FALSE,Phra Ram 3,พระรามที่ 3,,
GY31,grey,FALSE,Khlong Phum,คลองภูมิ,,
GY32,grey,FALSE,Khlong Dan,คลองด่าน,,
GY33,grey,FALSE,Sathu Pradit,สาธุประดิษฐ์,,
GY34,grey,FALSE,Phra Ram 9 Bridge,สะพานพระราม 9,,
GY35,grey,FALSE,Charoen Rat,เจริญราษฎร์,,
GY36,grey,FALSE,Charoen Krung,เจริญกรุง,,
GY37,grey,FALSE,Mahaisawan,มไหสวรรย์,,
GY38,grey,FALSE,Talat Phlu,ตลาดพลู,,
GY39,grey,FALSE,Tha Phra,ท่าพระ,,
MT01,pink,TRUE,Impact Muang Thong Thani,อิมแพ็คเมืองทองธานี,13.91040643,100.5442931
MT02,pink,TRUE,Muang Thong Thani Lake,ทะเลสาบเมืองทองธานี,13.91830925,100.5456585
N1,light_green,TRUE,Ratchathewi,ราชเทวี,13.75207562,100.5315714
N10,light_green,TRUE,Phahon Yothin 24,พหลโยธิน 24,13.82403179,100.5663319
N11,light_green,TRUE,Ratchayothin,รัชโยธิน,13.82976184,100.569629
N12,light_green,TRUE,Sena Nikhom,เสนานิคม,13.83635368,100.573518
N13,light_green,TRUE,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,13.84237073,100.577111
N14,light_green,TRUE,Royal Forest Department,กรมป่าไม้,13.85039048,100.5817693
N15,light_green,TRUE,Bang Bua,บางบัว,13.85597345,100.5851115
N16,light_green,TRUE,11th Infantry Regiment,กรมทหารราบที่ 11,13.86755996,100.5918953
N17,light_green,TRUE,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,13.87534903,100.596748
N18,light_green,TRUE,Phahon Yothin 59,พหลโยธิน 59,13.88259699,100.600773
N19,light_green,TRUE,Sai Yud,สายหยุด,13.88844049,100.604197
N2,light_green,TRUE,Phaya Thai,พญาไท,13.75700979,100.5338066
N20,light_green,TRUE,Saphan Mai,สะพานใหม่,13.89660637,100.6090666
N21,light_green,TRUE,Bhumibol Adulyadej Hospital,โรงพยาบาลภูมิพลอดุลยเดช,13.91070517,100.6173433
N22,light_green,TRUE,Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ,13.91794885,100.6216541
N23,light_green,TRUE,Yaek Kor Por Aor,แยก คปอ.,13.92502233,100.6259235
N24,light_green,TRUE,Khu Khot,คูคต,13.93235302,100.6466286
N25,light_green,FALSE,Khlong 3,คลองสาม,,
N26,light_green,FALSE,Khlong 4,คลองสี่,,
N27,light_green,FALSE,Khlong 5,คลองห้า,,
N28,light_green,FALSE,Outer Ring Road - Lam Luk Ka,วงแหวน-ลำลูกกา,,
N3,light_green,TRUE,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,13.7628712,100.5370477
N4,light_green,TRUE,Sanam Pao,สนามเป้า,13.77264449,100.5421253
N5,light_green,TRUE,Ari,อารีย์,13.77985028,100.5446531
N6,light_green,FALSE,Sena Ruam,เสนาร่วม,,
N7,light_green,TRUE,Saphan Khwai,สะพานควาย,13.79380459,100.5497505
N8,light_green,TRUE,Mo Chit,หมอชิต,13.8027276,100.5538694
N9,light_green,TRUE,Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,13.81641185,100.5619534
OR01,orange,FALSE,Bang Khun Non,บางขุนนนท์,,
OR02,orange,FALSE,Siriraj,ศิริราช,,
OR03,orange,FALSE,Sanam Luang,สนามหลวง,,
OR04,orange,FALSE,Democracy Monument,อนุเสาวรีย์ประชาธิปไตย,,
OR05,orange,FALSE,Lan Luang,หลานหลวง,,
OR06,orange,FALSE,Yommarat,ยมราช,,
OR07,orange,FALSE,Ratchathewi,ราชเทวี,,
OR08,orange,FALSE,Pratunam,ประตูน้ำ,,
OR09,orange,FALSE,Ratchaprarop,ราชปรารภ,,
OR10,orange,FALSE,Din Daeng,ดินแดง,,
OR11,orange,FALSE,Pracha Songkhro,ประชาสงเคราะห์,,
OR12,orange,FALSE,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,,
OR13,orange,FALSE,MRTA,รฟม.,,
OR14,orange,FALSE,Wat Phraram Kao,วัดพระราม 9,,
OR15,orange,FALSE,Ram Khamhaeng 12,รามคำแหง 12,,
OR16,orange,FALSE,Ram Khamhaeng University,ม.รามคำแหง,,
OR17,orange,FALSE,SAT,กกท.,,
OR18,orange,FALSE,Ram Khamhaeng 34,รามคำแหง 34,,
OR19,orange,FALSE,Yaek Lam Sali,แยกลำสาลี,,
OR20,orange,FALSE,Si Burapha,ศรีบูรพา,,
OR21,orange,FALSE,Ban Ma,บ้านม้า,,
OR22,orange,FALSE,Sammakon,สัมมากร,,
OR23,orange,FALSE,Nom Klao,น้อมเกล้า,,
OR24,orange,FALSE,Rat Phatthana,ราษฏร์พัฒนา,,
