line_code,active,station_code,station_name_en,station_name_th,latitude,longitude
arl,True,A1,Suvarnabhumi,สุวรรณภูมิ,13.69790742,100.7522493
arl,False,A10,Don Muang,ดอนเมือง,,
arl,True,A2,Lat Krabang,ลาดกระบัง,13.7278904,100.7486236
arl,True,A3,Ban Thap Chang,บ้านทับช้าง,13.73282618,100.6913061
arl,True,A4,Hua Mak,หัวหมาก,13.73804799,100.6451781
arl,True,A5,Ramkhamhaeng,รามคำแหง,13.74298957,100.6001476
arl,True,A6,Makkasan,มักกะสัน,13.75103218,100.5612032
arl,True,A7,Ratchaprarop,ราชปรารภ,13.75510533,100.5421521
arl,True,A8,Phaya Thai,พญาไท,13.75677853,100.5348391
arl,False,A9,Bang Sue,บางซื่อ,,
blue,True,BL01,Tha Phra,ท่าพระ,13.72969778,100.4741528
blue,True,BL02,Charan 13,จรัญฯ 13,13.7403604,100.4706533
blue,True,BL03,Fai Chai,ไฟฉาย,13.75513012,100.469225
blue,True,BL04,Bang Khun Non,บางขุนนนท์,13.76322858,100.4732075
blue,True,BL05,Bang Yi Khan,บางยี่ขัน,13.77753717,100.485243
blue,True,BL06,Sirindhorn,สิรินธร,13.78406434,100.4934785
blue,True,BL07,Bang Phlat,บางพลัด,13.79255197,100.5050425
blue,True,BL08,Bang O,บางอ้อ,13.79901673,100.5096999
blue,True,BL09,Bang Pho,บางโพ,13.80646721,100.5210402
blue,True,BL10,Tao Poon,เตาปูน,13.80621259,100.530759
blue,True,BL11,Bang Sue,บางซื่อ,13.80312385,100.5391893
blue,True,BL12,Kamphaeng Phet,กำแพงเพชร,13.79809541,100.5475954
blue,True,BL13,Chatuchak Park,สวนจตุจักร,13.80213175,100.5530476
blue,True,BL14,Phahon Yothin,พหลโยธิน ,13.81434869,100.5601448
blue,True,BL15,Lat Phrao,ลาดพร้าว,13.806243,100.5739567
blue,True,BL16,Ratchadaphisek,รัชดาภิเษก,13.79915789,100.5746119
blue,True,BL17,Sutthisan,สุทธิสาร,13.78973963,100.5742003
blue,True,BL18,Huai Khwang,ห้วยขวาง,13.77852705,100.5736394
blue,True,BL19,Thailand Cultural Centre,ศูนย์วัฒธรรมแห่งประเทศไทย,13.76627655,100.5702328
blue,True,BL20,Phra Ram 9,พระราม 9,13.75791625,100.5655452
blue,True,BL21,Phetchaburi,เพชรบุรี,13.74868501,100.5631611
blue,True,BL22,Sukhumvit,สุขุมวิท,13.73855034,100.5614557
blue,True,BL23,Queen Sirikit National ,ศูนย์การประชุมแห่งชาติสิริกิติ์,13.72315611,100.5601051
blue,True,BL24,Khlong Toei,คลองเตย,13.72233526,100.5539195
blue,True,BL25,Lumphini,ลุมพินี,13.72577127,100.5456769
blue,True,BL26,Si Lom,สีลม,13.72926025,100.5365456
blue,True,BL27,Sam Yan,สามย่าน,13.73234822,100.5299815
blue,True,BL28,Hua Lamphong,หัวลำโพง,13.73783973,100.5171627
blue,True,BL29,Wat Mangkon,วัดมังกร,13.74201328,100.5101788
blue,True,BL30,Sam Yot,สามยอด,13.74715729,100.5022257
blue,True,BL31,Sanam Chai,สนามไชย,13.74394426,100.4945866
blue,True,BL32,Itsaraphap,อิสรภาพ,13.73832048,100.4852921
blue,True,BL33,Bang Phai,บางไผ่,13.72459435,100.4651747
blue,True,BL34,Bang Wa,บางหว้า,13.72039546,100.4571675
blue,True,BL35,Phetkasem 48,เพชรเกษม 48,13.71550917,100.4456044
blue,True,BL36,Phasi Charoen,ภาษีเจริญ,13.71288542,100.4341567
blue,True,BL37,Bang Khae,บางแค,13.71194125,100.4223819
blue,True,BL38,Lak Song,หลักสอง,13.7109686,100.4099721
blue,False,BL39,Phutthamonthon 2,พุทธมณฑลสาย 2,,
blue,False,BL40,Thawiwatthana,ทวีวัฒนา,,
blue,False,BL41,Phutthamonthon 3,พุทธมณฑลสาย 3,,
blue,False,BL42,Phutthamonthon 4,พุทธมณฑลสาย 4,,
brown,False,BR01,Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี,,
brown,False,BR02,Ngam Wong Wan 2,งามวงศ์วาน 2 ,,
brown,False,BR03,Ngam Wong Wan 18,งามวงศ์วาน 18,,
brown,False,BR04,Chinnakhet,ชินเขต,,
brown,False,BR05,Bang Khen,บางเขน,,
brown,False,BR06,Ngam Wong Wan 48,งามวงศ์วาน 48,,
brown,False,BR07,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,,
brown,False,BR08,Khong Bang Bua,คลองบางบัว,,
brown,False,BR09,Prasert Manukitch – Lat Pla Khao,ประเสริฐมนูกิจ – ลาดปลาเค้า,,
brown,False,BR10,Sena Niwet,เสนานิเวศน์,,
brown,False,BR11,Satri Witthaya 2 School,โรงเรียนสตรีวิทยา 2,,
brown,False,BR12,Kaset Nawamin,เกษตรนวมินทร์,,
brown,False,BR13,Khlong Lamchiak,คลองลำเจียก,,
brown,False,BR14,Nuanchan,นวลจันทร์,,
brown,False,BR15,Nawamin Junction,แยกนวมินทร์,,
brown,False,BR16,Phokaew,โพธิ์แก้ว,,
brown,False,BR17,Inthrarak,อินทรารักษ์,,
brown,False,BR18,Nawaminphirom Park,สวนนวมินทร์ภิรมย์,,
brown,False,BR19,Nationnal Housing Authority,การเคหะแห่งชาติ,,
brown,False,BR20,Yaek Lam Sali,แยกลำสาลี,,
dark_green,True,CEN,Siam,สยาม,13.74561143,100.5341474
light_green,True,CEN,Siam,สยาม,13.74561143,100.5341474
light_green,True,E1,Chit Lom,ชิดลม,13.74408069,100.5430873
light_green,True,E10,Bang Chak,บางจาก,13.69673557,100.6052246
light_green,True,E11,Punnawithi,ปุณณวิถี,13.68924559,100.6090509
light_green,True,E12,Udom Suk,อุดมสุข,13.67991899,100.6095904
light_green,True,E13,Bang Na,บางนา,13.66814729,100.6047186
light_green,True,E14,Bearing,แบริ่ง,13.66133924,100.6019284
light_green,True,E15,Samrong,สำโรง,13.64618067,100.5955061
light_green,True,E16,Pu Chao,ปู่เจ้า,13.63724629,100.5920546
light_green,True,E17,Chang Erawan,ช้างเอราวัณ,13.62153309,100.5902021
light_green,True,E18,Royal Thai Naval Academy,โรงเรียนนายเรือ,13.60845311,100.5949343
light_green,True,E19,Pak Nam,ปากน้ำ,13.60211662,100.5971519
light_green,True,E2,Phloen Chit,เพลินจิต,13.74305844,100.5490357
light_green,True,E20,Srinagarindra,ศรีนครินทร์,13.59205817,100.608983
light_green,True,E21,Phraek Sa,แพรกษา,13.58432495,100.607975
light_green,True,E22,Sai Luat,สายลวด,13.57771156,100.6054492
light_green,True,E23,Kheha,เคหะฯ,13.56766421,100.6077781
light_green,False,E24,Sawang Khaniwat,สวางคนิวาส,,
light_green,False,E25,Ancient City,เมืองโบราณ,,
light_green,False,E26,Srichanpradit,ศรีจันทร์ประดิษฐ์,,
light_green,False,E27,Bang Pu,บางปู,,
light_green,False,E28,Tamru,ตำหรุ,,
light_green,True,E3,Nana,นานา,13.74053723,100.5554754
light_green,True,E4,Asok,อโศก,13.73704787,100.5603549
light_green,True,E5,Phrom Phong,พร้อมพงศ์,13.73045553,100.5696996
light_green,True,E6,Thong Lo,ทองหล่อ,13.72435715,100.5784291
light_green,True,E7,Ekkamai,เอกมัย,13.71955685,100.5850876
light_green,True,E8,Phra Khanong,พระโขนง,13.71523481,100.5912765
light_green,True,E9,On Nut,อ่อนนุช,13.70563696,100.6010277
gold,True,G1,Krung Thon Buri,กรุงธนบุรี,13.72111862,100.5036484
gold,True,G2,Charoen Nakhorn,เจริญนคร,13.72652947,100.5089743
gold,True,G3,Khlong San,คลองสาน,13.73045608,100.5076094
gold,False,G4,Memorial Bridge,สะพานพุทธ,,
grey,False,GY01,Vatcharaphol,วัชรพล,,
grey,False,GY02,Yu Yen,อยู่เย็น,,
grey,False,GY03,Kaset Nawamin,เกษตรนวมินทร์,,
grey,False,GY04,Pradit Manutham 25,ประดิษฐ์มนูญธรรม 25,,
grey,False,GY05,Yothin Phattana,โยธินพัฒนา,,
grey,False,GY06,Lat Phrao 87,ลาดพร้าว 87,,
grey,False,GY07,Sangkhom Songkhro,สังคมสงเคราะห์,,
grey,False,GY08,Lat Phrao 83,ลาดพร้าว 83,,
grey,False,GY09,Si Wara,ศรีวรา,,
grey,False,GY10,Nawa Si,นวศรี,,
grey,False,GY11,Wat Phraram Kao,วัดพระราม 9,,
grey,False,GY12,Petchaburi-Thong Lo,เพชรบุรี-ทองหล่อ,,
grey,False,GY13,Cham Chan,แจ่มจันทร์,,
grey,False,GY14,Thong Lo 10,ทองหล่อ 10,,
grey,False,GY15,Thong Lo,ทองหล่อ,,
grey,False,GY16,Phra Khanong,พระโขนง,,
grey,False,GY17,Ban Kluai Tai,บ้านกล้วยใต้,,
grey,False,GY18,Kluai Namthai,กล้วยน้ำไท,,
grey,False,GY19,Kasem Rat Junction,แยกเกษมราษฎร์,,
grey,False,GY20,Queen Sirikit National Covention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์,,
grey,False,GY21,Khlong Toei,คลองเตย,,
grey,False,GY22,Ngam Duphli,งามดูพลี,,
grey,False,GY23,Lumpini,ลุมพินี,,
grey,False,GY24,Suan Phlu,สวนพลู,,
grey,False,GY25,Chong Nonsi,ช่องนนทรี,,
grey,False,GY26,Naradhiwas,นราธิวาสฯ,,
grey,False,GY27,Nang Linchi,นางลิ้นจี่,,
grey,False,GY28,Ratchada-Naradhiwas,รัชดา-นราธิวาส,,
grey,False,GY29,Yannawa,ยานนาวา,,
grey,False,GY30,Phra Ram 3,พระรามที่ 3,,
grey,False,GY31,Khlong Phum,คลองภูมิ,,
grey,False,GY32,Khlong Dan,คลองด่าน,,
grey,False,GY33,Sathu Pradit,สาธุประดิษฐ์,,
grey,False,GY34,Phra Ram 9 Bridge,สะพานพระราม 9,,
grey,False,GY35,Charoen Rat,เจริญราษฎร์,,
grey,False,GY36,Charoen Krung,เจริญกรุง,,
grey,False,GY37,Mahaisawan,มไหสวรรย์,,
grey,False,GY38,Talat Phlu,ตลาดพลู,,
grey,False,GY39,Tha Phra,ท่าพระ,,
pink,True,MT01,Impact Muang Thong Thani,อิมแพ็คเมืองทองธานี,13.910406426663906,100.54429307659554
pink,True,MT02,Muang Thong Thani Lake ,ทะเลสาบเมืองทองธานี,13.918309249789306,100.54565853357003
light_green,True,N1,Ratchathewi,ราชเทวี,13.75207562,100.5315714
light_green,True,N10,Phahon Yothin 24,พหลโยธิน 24,13.82403179,100.5663319
light_green,True,N11,Ratchayothin,รัชโยธิน,13.82976184,100.569629
light_green,True,N12,Sena Nikhom,เสนานิคม,13.83635368,100.573518
light_green,True,N13,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,13.84237073,100.577111
light_green,True,N14,Royal Forest Department,กรมป่าไม้,13.85039048,100.5817693
light_green,True,N15,Bang Bua ,บางบัว,13.85597345,100.5851115
light_green,True,N16,11th Infantry Regiment ,กรมทหารราบที่ 11,13.86755996,100.5918953
light_green,True,N17,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,13.87534903,100.596748
light_green,True,N18,Phahon Yothin 59,พหลโยธิน 59,13.88259699,100.600773
light_green,True,N19,Sai Yud,สายหยุด,13.88844049,100.604197
light_green,True,N2,Phaya Thai,พญาไท,13.75700979,100.5338066
light_green,True,N20,Saphan Mai,สะพานใหม่,13.89660637,100.6090666
light_green,True,N21,Bhumibol Adulyadej Hospital,โรงพยาบาลภูมิพลอดุลยเดช,13.91070517,100.6173433
light_green,True,N22,Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ,13.91794885,100.6216541
light_green,True,N23,Yaek Kor Por Aor,แยก คปอ.,13.92502233,100.6259235
light_green,True,N24,Khu Khot,คูคต,13.93235302,100.6466286
light_green,False,N25,Khlong 3,คลองสาม,,
light_green,False,N26,Khlong 4,คลองสี่,,
light_green,False,N27,Khlong 5,คลองห้า,,
light_green,False,N28,Outer Ring Road - Lam Luk Ka,วงแหวน-ลำลูกกา,,
light_green,True,N3,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,13.7628712,100.5370477
light_green,True,N4,Sanam Pao,สนามเป้า,13.77264449,100.5421253
light_green,True,N5,Ari,อารีย์,13.77985028,100.5446531
light_green,False,N6,Sena Ruam,เสนาร่วม,,
light_green,True,N7,Saphan Khwai,สะพานควาย,13.79380459,100.5497505
light_green,True,N8,Mo Chit,หมอชิต,13.8027276,100.5538694
light_green,True,N9,Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,13.81641185,100.5619534
orange,False,OR01,Bang Khun Non,บางขุนนนท์,,
