station_code,line_code,active,hub_id,id
A1,arl,True,263,1
A2,arl,True,103,2
A3,arl,True,8,3
A4,arl,True,67,4
A5,arl,True,190,5
A6,arl,True,117,6
A7,arl,True,199,7
A8,arl,True,155,8
A9,arl,False,34,9
A10,arl,False,60,10
BL01,blue,True,271,11
BL02,blue,True,44,12
BL03,blue,True,63,13
BL04,blue,True,17,14
BL05,blue,True,36,15
BL06,blue,True,253,16
BL07,blue,True,27,17
BL08,blue,True,23,18
BL09,blue,True,29,19
BL10,blue,True,270,20
BL11,blue,True,34,21
BL12,blue,True,73,22
BL13,blue,True,49,23
BL14,blue,True,150,24
BL15,blue,True,104,25
BL16,blue,True,198,26
BL17,blue,True,262,27
BL18,blue,True,68,28
BL19,blue,True,272,29
BL20,blue,True,165,30
BL21,blue,True,156,31
BL22,blue,True,260,32
BL23,blue,True,179,33
BL24,blue,True,91,34
BL25,blue,True,110,35
BL26,blue,True,245,36
BL27,blue,True,218,37
BL28,blue,True,66,38
BL29,blue,True,285,39
BL30,blue,True,219,40
BL31,blue,True,224,41
BL32,blue,True,71,42
BL33,blue,True,26,43
BL34,blue,True,35,44
BL35,blue,True,157,45
BL36,blue,True,153,46
BL37,blue,True,15,47
BL38,blue,True,101,48
BL39,blue,False,170,49
BL40,blue,False,274,50
BL41,blue,False,171,51
BL42,blue,False,172,52
BR01,brown,False,140,53
BR02,brown,False,137,54
BR03,brown,False,136,55
BR04,brown,False,51,56
BR05,brown,False,16,57
BR06,brown,False,138,58
BR07,brown,False,78,59
BR08,brown,False,93,60
BR09,brown,False,175,61
BR10,brown,False,236,62
BR11,brown,False,233,63
BR12,brown,False,77,64
BR13,brown,False,87,65
BR14,brown,False,142,66
BR15,brown,False,133,67
BR16,brown,False,160,68
BR17,brown,False,70,69
BR18,brown,False,134,70
BR19,brown,False,131,71
BR20,brown,False,295,72
CEN,dark_green,True,252,73
CEN,light_green,True,252,74
E1,light_green,True,52,75
E10,light_green,True,12,76
E11,light_green,True,178,77
E12,light_green,True,280,78
E13,light_green,True,21,79
E14,light_green,True,38,80
E15,light_green,True,223,81
E16,light_green,True,177,82
E17,light_green,True,43,83
E18,light_green,True,206,84
E19,light_green,True,147,85
E2,light_green,True,158,86
E20,light_green,True,256,87
E21,light_green,True,167,88
E22,light_green,True,208,89
E23,light_green,True,80,90
E24,light_green,False,234,91
E25,light_green,False,2,92
E26,light_green,False,255,93
E27,light_green,False,30,94
E28,light_green,False,269,95
E3,light_green,True,125,96
E4,light_green,True,4,97
E5,light_green,True,169,98
E6,light_green,True,276,99
E7,light_green,True,62,100
E8,light_green,True,161,101
E9,light_green,True,143,102
G1,gold,True,98,103
G2,gold,True,46,104
G3,gold,True,90,105
G4,gold,False,118,106
GY01,grey,False,282,107
GY02,grey,False,305,108
GY03,grey,False,77,109
GY04,grey,False,174,110
GY05,grey,False,304,111
GY06,grey,False,108,112
GY07,grey,False,228,113
GY08,grey,False,107,114
GY09,grey,False,250,115
GY10,grey,False,132,116
GY11,grey,False,287,117
GY12,grey,False,149,118
GY13,grey,False,42,119
GY14,grey,False,277,120
GY15,grey,False,276,121
GY16,grey,False,161,122
GY17,grey,False,6,123
GY18,grey,False,97,124
GY19,grey,False,76,125
GY20,grey,False,180,126
GY21,grey,False,91,127
GY22,grey,False,135,128
GY23,grey,False,111,129
GY24,grey,False,259,130
GY25,grey,False,55,131
GY26,grey,False,127,132
GY27,grey,False,126,133
GY28,grey,False,196,134
GY29,grey,False,301,135
GY30,grey,False,164,136
GY31,grey,False,89,137
GY32,grey,False,86,138
GY33,grey,False,232,139
GY34,grey,False,166,140
GY35,grey,False,47,141
GY36,grey,False,45,142
GY37,grey,False,114,143
GY38,grey,False,265,144
GY39,grey,False,271,145
MT01,pink,True,69,146
MT02,pink,True,124,147
N1,light_green,True,200,148
N10,light_green,True,151,149
N11,light_green,True,202,150
N12,light_green,True,235,151
N13,light_green,True,78,152
N14,light_green,True,203,153
N15,light_green,True,11,154
N16,light_green,True,1,155
N17,light_green,True,286,156
N18,light_green,True,152,157
N19,light_green,True,210,158
N2,light_green,True,155,159
N20,light_green,True,230,160
N21,light_green,True,39,161
N22,light_green,True,205,162
N23,light_green,True,294,163
N24,light_green,True,96,164
N25,light_green,False,82,165
N26,light_green,False,83,166
N27,light_green,False,84,167
N28,light_green,False,144,168
N3,light_green,True,283,169
N4,light_green,True,226,170
N5,light_green,True,3,171
N6,light_green,False,237,172
N7,light_green,True,229,173
N8,light_green,True,122,174
N9,light_green,True,65,175
OR01,orange,False,17,176
OR02,orange,False,254,177
OR03,orange,False,225,178
OR04,orange,False,58,179
OR05,orange,False,102,180
OR06,orange,False,302,181
OR07,orange,False,200,182
OR08,orange,False,176,183
OR09,orange,False,199,184
OR10,orange,False,59,185
OR11,orange,False,173,186
OR12,orange,False,272,187
OR13,orange,False,112,188
OR14,orange,False,287,189
OR15,orange,False,186,190
OR16,orange,False,188,191
OR17,orange,False,207,192
OR18,orange,False,187,193
OR19,orange,False,295,194
OR20,orange,False,240,195
OR21,orange,False,7,196
OR22,orange,False,221,197
OR23,orange,False,139,198
OR24,orange,False,195,199
OR25,orange,False,284,200
OR26,orange,False,81,201
OR27,orange,False,119,202
